No,AZ,RU,EN
1,Dovşan (Holland Lop),Голландский вислоухий кролик,Holland Lop Rabbit
2,Dovşan (Mini Lop),Мини-лоп кролик,Mini Lop Rabbit
3,Dovşan (French Lop),Французский вислоухий кролик,French Lop Rabbit
4,Dovşan (English Lop),Английский вислоухий кролик,English Lop Rabbit
5,Dovşan (Netherland Dwarf),Нидерландский карликовый кролик,Netherland Dwarf Rabbit
6,Dovşan (Mini Rex),Мини-рекс кролик,Mini Rex Rabbit
7,Dovşan (Rex),Рекс кролик,Rex Rabbit
8,Dovşan (Lionhead),Львиноголовый кролик,Lionhead Rabbit
9,Dovşan (Angora - İngilis),Английская ангора,English Angora Rabbit
10,Dovşan (Angora - Fransız),Французская ангора,French Angora Rabbit
11,Dovşan (Angora - Dev),Гигантская ангора,Giant Angora Rabbit
12,Dovşan (Jersey Wooly),Джерсийский шерстистый кролик,Jersey Wooly Rabbit
13,Dovşan (Flemish Giant),Фландр (Бельгийский великан),Flemish Giant Rabbit
14,Dovşan (Continental Giant),Континентальный великан,Continental Giant Rabbit
15,Dovşan (Britannia Petite),Британия петит,Britannia Petite Rabbit
16,Dovşan (Polish),Польский кролик,Polish Rabbit
17,Dovşan (Dutch),Голландский кролик,Dutch Rabbit
18,Dovşan (Hotot),Хотот кролик,Blanc de Hotot Rabbit
19,Dovşan (Dwarf Hotot),Карликовый хотот,Dwarf Hotot Rabbit
20,Dovşan (Harlequin),Арлекин кролик,Harlequin Rabbit
21,Dovşan (Himalayan),Гималайский кролик,Himalayan Rabbit
22,Dovşan (Californian),Калифорнийский кролик,Californian Rabbit
23,Dovşan (New Zealand),Новозеландский кролик,New Zealand Rabbit
24,Dovşan (Chinchilla),Шиншилловый кролик,Chinchilla Rabbit
25,Dovşan (American Fuzzy Lop),Американский пуховый вислоухий,American Fuzzy Lop Rabbit
26,Dovşan (English Spot),Английский пятнистый кролик,English Spot Rabbit
27,Dovşan (Checkered Giant),Кролик-бабочка,Checkered Giant Rabbit
28,Dovşan (Silver Fox),Серебристая лиса кролик,Silver Fox Rabbit
29,Dovşan (Havana),Гавана кролик,Havana Rabbit
30,Dovşan (Tan),Тан кролик,Tan Rabbit
31,Dovşan (Satin),Сатиновый кролик,Satin Rabbit
32,Dovşan (Mini Satin),Мини-сатин кролик,Mini Satin Rabbit
33,Dovşan (Belgian Hare),Бельгийский заяц,Belgian Hare Rabbit
34,Dovşan (Beveren),Беверен кролик,Beveren Rabbit
35,Dovşan (Silver Marten),Серебристая куница кролик,Silver Marten Rabbit
36,Dovşan (Florida White),Флоридский белый кролик,Florida White Rabbit
37,Dovşan (Thrianta),Трианта кролик,Thrianta Rabbit
38,Dovşan (Cinnamon),Коричный кролик,Cinnamon Rabbit
39,Dovşan (Palomino),Паломино кролик,Palomino Rabbit
40,Dovşan (American),Американский кролик,American Rabbit
41,Dovşan (Lilac),Лиловый кролик,Lilac Rabbit
42,Dovşan (Rhinelander),Рейнский кролик,Rhinelander Rabbit
43,Dovşan (Standard Chinchilla),Стандартный шиншилловый кролик,Standard Chinchilla Rabbit
44,Dovşan (Crème d'Argent),Шампань кролик,Crème d'Argent Rabbit
