No,AZ,RU,EN
1,Labrador Retriver,Лабрадор-ретривер,Labrador Retriever
2,Alman Ovçarkası,Немецкая овчарка,German Shepherd
3,Qızılı Retriver,Золотистый ретривер,Golden Retriever
4,Fransız Buldoqu,Французский бульдог,French Bulldog
5,İngilis Buldoqu,Английский бульдог,English Bulldog
6,Pudel,Пудель,Poodle
7,Bigl,Бигль,Beagle
8,Rotveyler,Ротвейлер,Rottweiler
9,Alman Qısa Tüklü Poynteri,Курцхаар,German Shorthaired Pointer
10,Yorkşir Teryer,Йоркширский терьер,Yorkshire Terrier
11,Bokser,Боксёр,Boxer
12,Taksa,Такса,Dachshund
13,Sibir Haski,Сибирский хаски,Siberian Husky
14,Böyük Dan,Немецкий дог,Great Dane
15,Doberman Pinçer,Доберман-пинчер,Doberman Pinscher
16,Avstraliya Çoban İti,Австралийская овчарка,Australian Shepherd
17,Miniatür Şnautser,Цвергшнауцер,Miniature Schnauzer
18,Kavaler Kinq Çarlz Spaniel,Кавалер-кинг-чарльз-спаниель,Cavalier King Charles Spaniel
19,Şi-Tsu,Ши-тцу,Shih Tzu
20,Boston Teryer,Бостон-терьер,Boston Terrier
21,Pomeranian,Померанский шпиц,Pomeranian
22,Havanese,Гаванский бишон,Havanese
23,İngilis Springer Spaniel,Английский спрингер-спаниель,English Springer Spaniel
24,Şetland Çoban İti,Шетландская овчарка,Shetland Sheepdog
25,Bretani,Бретонский эпаньоль,Brittany
26,Amerika Koker Spaniel,Американский кокер-спаниель,American Cocker Spaniel
27,Border Kolli,Бордер-колли,Border Collie
28,Vişla,Выжла,Vizsla
29,Mops,Мопс,Pug
30,Veymaraner,Веймаранер,Weimaraner
31,Kane Korso,Кане-корсо,Cane Corso
32,Malta Bişonu,Мальтийская болонка,Maltese
33,Çihuahua,Чихуахуа,Chihuahua
34,Kolli,Колли,Collie
35,Rodeziya Ricbeki,Родезийский риджбек,Rhodesian Ridgeback
36,Belçika Malinuası,Бельгийская овчарка малинуа,Belgian Malinois
37,Basset,Бассет-хаунд,Basset Hound
38,Nyufaundlend,Ньюфаундленд,Newfoundland
39,Bern Dağ İti,Бернский зенненхунд,Bernese Mountain Dog
40,İngilis Koker Spaniel,Английский кокер-спаниель,English Cocker Spaniel
41,Vest Haylend Uayt Teryer,Вест-хайленд-уайт-терьер,West Highland White Terrier
42,Papillon,Папильон,Papillon
43,Qan İzçi İti,Бладхаунд,Bloodhound
44,Bulmastif,Бульмастиф,Bullmastiff
45,Akita İnu,Акита-ину,Akita Inu
46,Samoyed,Самоед,Samoyed
47,Sen Bernar,Сенбернар,Saint Bernard
48,Alyaska Malamut,Аляскинский маламут,Alaskan Malamute
49,Erdel Teryer,Эрдельтерьер,Airedale Terrier
50,İrland Setteri,Ирландский сеттер,Irish Setter
51,Şiba İnu,Сиба-ину,Shiba Inu
52,Lxasa Apso,Лхаса апсо,Lhasa Apso
53,Dalmasiya,Далматин,Dalmatian
54,Alman Sərt Tüklü Poynter,Дратхаар,German Wirehaired Pointer
55,Çau-Çau,Чау-чау,Chow Chow
56,İrland Kurt Ov İti,Ирландский волкодав,Irish Wolfhound
57,Şotland Teryeri,Шотландский терьер,Scottish Terrier
58,İtalyan Qreyhaund,Левретка,Italian Greyhound
59,Qreyhaund,Грейхаунд,Greyhound
60,Bişon Frize,Бишон фризе,Bichon Frise
61,Mastif,Английский мастиф,English Mastiff
62,Keri Blu Teryer,Керри-блю-терьер,Kerry Blue Terrier
63,Staffordshire Bul Teryer,Стаффордширский бультерьер,Staffordshire Bull Terrier
64,Amerika Staffordshire Teryer,Американский стаффордширский терьер,American Staffordshire Terrier
65,Bul Teryer,Бультерьер,Bull Terrier
66,Pit Bul Teryer,Американский питбультерьер,American Pit Bull Terrier
67,Basenji,Басенджи,Basenji
68,Əfqan Ov İti,Афганская борзая,Afghan Hound
69,Borzo,Русская псовая борзая,Borzoi
70,Uippet,Уиппет,Whippet
71,Saluki,Салюки,Saluki
72,Dioqo Arqentino,Аргентинский дог,Dogo Argentino
73,Fila Brazileiro,Фила бразилейро,Fila Brasileiro
74,Tosa İnu,Тоса-ину,Tosa Inu
75,Tibetli Mastif,Тибетский мастиф,Tibetan Mastiff
76,Tibetli Teryer,Тибетский терьер,Tibetan Terrier
77,Tibetli Spaniel,Тибетский спаниель,Tibetan Spaniel
78,Pekinəs,Пекинес,Pekingese
79,Yapon Xin,Японский хин,Japanese Chin
80,Çin Krestid,Китайская хохлатая,Chinese Crested
81,Şar-Pey,Шарпей,Shar Pei
82,Keşond,Кеесхонд,Keeshond
83,Norveç Geyik Ov İti,Норвежский элкхаунд,Norwegian Elkhound
84,Fin Şpitsi,Финский шпиц,Finnish Spitz
85,Alman Şpitsi,Немецкий шпиц,German Spitz
86,Yapon Şpitsi,Японский шпиц,Japanese Spitz
87,Volpino İtalyano,Вольпино итальяно,Volpino Italiano
88,Eskimo İti,Американский эскимосский шпиц,American Eskimo Dog
89,Belçika Tervyuren,Бельгийская овчарка тервюрен,Belgian Tervuren
90,Belçika Qroenendal,Бельгийская овчарка грюнендаль,Belgian Groenendael
91,Belçika Laekenua,Бельгийская овчарка лакенуа,Belgian Laekenois
92,Hollandiya Çoban İti,Голландская овчарка,Dutch Shepherd
93,Bouvier des Flandres,Бувье де Фландр,Bouvier des Flandres
94,Briard,Бриар,Briard
95,Bobteil,Бобтейл,Old English Sheepdog
96,Bearded Kolli,Бородатый колли,Bearded Collie
97,Avustraliya Kelpisi,Австралийский келпи,Australian Kelpie
98,Avstraliya Mal İti,Австралийская пастушья собака,Australian Cattle Dog
99,Vels Korgi Pembrok,Вельш-корги пемброк,Pembroke Welsh Corgi
100,Vels Korgi Kardigan,Вельш-корги кардиган,Cardigan Welsh Corgi
101,Kanaan İti,Ханаанская собака,Canaan Dog
102,Xokkaydo İti,Хоккайдо,Hokkaido Dog
103,Kai Ken,Каи,Kai Ken
104,Kişu Ken,Кисю,Kishu Ken
105,Şikoku,Сикоку,Shikoku
106,Koreya Cindo,Корейский джиндо,Korean Jindo
107,Tayland Ricbeki,Тайский риджбек,Thai Ridgeback
108,Firon İti,Фараонова собака,Pharaoh Hound
109,İbiza Ov İti,Ибицкая борзая,Ibizan Hound
110,Çirneko dell Etna,Чирнеко дель Этна,Cirneco dell'Etna
111,Portuqal Su İti,Португальская водяная собака,Portuguese Water Dog
112,İspan Su İti,Испанская водяная собака,Spanish Water Dog
113,İrland Su Spanieli,Ирландский водяной спаниель,Irish Water Spaniel
114,Barbet,Барбет,Barbet
115,Laqotto Romagnolo,Лаготто романьоло,Lagotto Romagnolo
116,Flat-Kouted Retriver,Прямошёрстный ретривер,Flat-Coated Retriever
117,Çesapik Bey Retriver,Чесапик-бей-ретривер,Chesapeake Bay Retriever
118,Nova Skotia Retriver,Новошотландский ретривер,Nova Scotia Duck Tolling Retriever
119,Kerli-Kouted Retriver,Курчавошёрстный ретривер,Curly-Coated Retriever
120,İngilis Setter,Английский сеттер,English Setter
121,Qordon Setter,Шотландский сеттер,Gordon Setter
122,İrland Qırmızı-Ağ Setter,Ирландский красно-белый сеттер,Irish Red and White Setter
123,Poynter,Пойнтер,Pointer (English Pointer)
124,Veymaraner Uzun Tüklü,Веймаранер длинношёрстный,Long-Haired Weimaraner
125,İtalyan Bracc,Итальянский бракк,Bracco Italiano
126,Spinone İtalyano,Спиноне итальяно,Spinone Italiano
127,Vişla Sərt Tüklü,Венгерская жесткошёрстная выжла,Wirehaired Vizsla
128,Çeşski Fousek,Чешский фоусек,Cesky Fousek
129,Slovakiya Sərt Tüklü Poynter,Словацкий грубошёрстный пойнтер,Slovakian Wirehaired Pointer
130,Pudelpoynter,Пудельпойнтер,Pudelpointer
131,Münsterlender (Böyük),Большой мюнстерлендер,Large Munsterlander
132,Münsterlender (Kiçik),Малый мюнстерлендер,Small Munsterlander
133,Vels Springer Spaniel,Вельш-спрингер-спаниель,Welsh Springer Spaniel
134,Klumber Spaniel,Кламбер-спаниель,Clumber Spaniel
135,Sasseks Spaniel,Суссекс-спаниель,Sussex Spaniel
136,Fild Spaniel,Филд-спаниель,Field Spaniel
137,Boykin Spaniel,Бойкин-спаниель,Boykin Spaniel
138,Amerika Su Spanieli,Американский водяной спаниель,American Water Spaniel
139,Koikerhondye,Коикерхондье,Nederlandse Kooikerhondje
140,Vetterhun,Веттерхаун,Wetterhoun
141,Stabyhun,Стабихаун,Stabyhoun
142,Foks Teryer (Hamar Tüklü),Гладкошёрстный фокстерьер,Smooth Fox Terrier
143,Foks Teryer (Sərt Tüklü),Жесткошёрстный фокстерьер,Wire Fox Terrier
144,Cek Rassel Teryer,Джек-рассел-терьер,Jack Russell Terrier
145,Parson Rassel Teryer,Парсон-рассел-терьер,Parson Russell Terrier
146,Bedlinqton Teryer,Бедлингтон-терьер,Bedlington Terrier
147,Border Teryer,Бордер-терьер,Border Terrier
148,Norviç Teryer,Норвич-терьер,Norwich Terrier
149,Norfolk Teryer,Норфолк-терьер,Norfolk Terrier
150,Sealyham Teryer,Силихем-терьер,Sealyham Terrier
151,Skay Teryer,Скайтерьер,Skye Terrier
152,Dandie Dinmont Teryer,Денди-динмонт-терьер,Dandie Dinmont Terrier
153,Lakeland Teryer,Лейкленд-терьер,Lakeland Terrier
154,Mançester Teryer,Манчестер-терьер,Manchester Terrier
155,Miniatür Bul Teryer,Миниатюрный бультерьер,Miniature Bull Terrier
156,Avstraliya Teryer,Австралийский терьер,Australian Terrier
157,Silki Teryer,Австралийский шелковистый терьер,Silky Terrier
