No,AZ,RU,EN
1,Fars Pişiyi,Персидская кошка,Persian
2,Meyn-Kun,Мейн-кун,Maine Coon
3,Reqdoll,Рэгдолл,Ragdoll
4,Britaniya Qısa Tüklü,Британская короткошёрстная,British Shorthair
5,Britaniya Uzun Tüklü,Британская длинношёрстная,British Longhair
6,Abissin,Абиссинская,Abyssinian
7,Bengal,Бенгальская,Bengal
8,Siam,Сиамская,Siamese
9,Sfinks (Kanada),Канадский сфинкс,Sphynx
10,Skotland Qatlaq Qulaqlı,Шотландская вислоухая,Scottish Fold
11,Skotland Dik Qulaqlı,Шотландская прямоухая,Scottish Straight
12,Rus Mavi,Русская голубая,Russian Blue
13,Norveç Meşə Pişiyi,Норвежская лесная,Norwegian Forest Cat
14,Birma (Müqəddəs Birma),Бирманская (Священная Бирма),Birman
15,Oryental Qısa Tüklü,Ориентальная короткошёрстная,Oriental Shorthair
16,Oryental Uzun Tüklü,Ориентальная длинношёрстная,Oriental Longhair
17,Devon Reks,Девон-рекс,Devon Rex
18,Kornuol Reks,Корниш-рекс,Cornish Rex
19,Somali,Сомалийская,Somali
20,Burmaniya (Burmes),Бурманская,Burmese
21,Oqust (Göy Gözlü),Оцикет,Ocicat
22,Misir Mau,Египетская мау,Egyptian Mau
23,Tonkinez,Тонкинская,Tonkinese
24,Bali (Balineziya),Балинезийская,Balinese
25,Türk Anqora,Турецкая ангора,Turkish Angora
26,Türk Van,Турецкий ван,Turkish Van
27,Havana Braun,Гавана браун,Havana Brown
28,Korat,Корат,Korat
29,Manks (Quyruqsuz),Мэнкс,Manx
30,Kimrik (Uzun Tüklü Manks),Кимрик,Cymric
31,Yapon Bobteil,Японский бобтейл,Japanese Bobtail
32,Amerika Bobteil,Американский бобтейл,American Bobtail
33,Kuril Bobteil,Курильский бобтейл,Kurilian Bobtail
34,Mekong Bobteil,Меконгский бобтейл,Mekong Bobtail
35,Kareliya Bobteil,Карельский бобтейл,Karelian Bobtail
36,Amerika Qısa Tüklü,Американская короткошёрстная,American Shorthair
37,Amerika Uzun Tüklü,Американская длинношёрстная,American Longhair (Domestic Longhair)
38,Amerika Sərt Tüklü,Американская жесткошёрстная,American Wirehair
39,Amerika Buklə Qulaqlı,Американский кёрл,American Curl
40,Ekzotik Qısa Tüklü,Экзотическая короткошёрстная,Exotic Shorthair
41,Himalay,Гималайская,Himalayan
42,Selkirk Reks,Селкирк-рекс,Selkirk Rex
43,LaPerm,Лаперм,LaPerm
44,Sinqapura,Сингапурская,Singapura
45,Burmilla,Бурмилла,Burmilla
46,Şinşilla,Шиншилла,Chinchilla (Persian variant)
47,Avropa Qısa Tüklü,Европейская короткошёрстная,European Shorthair
48,Şartrö (Kartezian),Шартрез,Chartreux
49,Neva Maskarad,Невская маскарадная,Neva Masquerade
50,Sibir Pişiyi,Сибирская кошка,Siberian
51,Raqamuffin,Рагамаффин,Ragamuffin
52,Piksi-Bob,Пикси-боб,Pixie-Bob
53,Savanna,Саванна,Savannah
54,Çauzi,Чаузи,Chausie
55,Toyger,Тойгер,Toyger
56,Serengeti,Серенгети,Serengeti
57,Aşera,Ашера,Ashera
58,Safari,Сафари,Safari
59,Bambino,Бамбино,Bambino
60,Elf Pişiyi,Эльф,Elf Cat
61,Dvelf,Двэльф,Dwelf
62,Ukrayna Levkoy,Украинский левкой,Ukrainian Levkoy
63,Don Sfinks,Донской сфинкс,Don Sphynx (Donskoy)
64,Peterbald,Петерболд,Peterbald
65,Munçkin,Манчкин,Munchkin
66,Kinkalow,Кинкалоу,Kinkalow
67,Lambkin,Ламбкин,Lambkin
68,Skukum,Скукум,Skookum
69,Napoleon (Minuet),Наполеон (Минуэт),Napoleon (Minuet)
70,Genetta,Генетта,Genetta
71,Xauz (Cungıl Pişiyi),Хауси,Jungle Cat Hybrid (Chausie)
72,Benqal Uzun Tüklü (Kaşmir),Кашмир,Cashmere (Long-haired Bengal)
73,Bombey,Бомбейская,Bombay
74,Havana,Гавана,Havana
75,Tonkinez Uzun Tüklü,Тонкинская длинношёрстная,Tonkinese Longhair
76,Mandalay,Мандалай,Mandalay
77,Avstraliya Tüstü,Австралийская дымчатая,Australian Mist
78,Braziliya Qısa Tüklü,Бразильская короткошёрстная,Brazilian Shorthair
79,Seylan Pişiyi,Цейлонская,Ceylon Cat
80,Şantilli-Tiffani,Шантильи-тиффани,Chantilly-Tiffany
81,Tiffani (Burmilla Uzun Tüklü),Тиффани,Tiffanie
82,Kolorporynt Qısa Tüklü,Колорпойнт короткошёрстная,Colorpoint Shorthair
83,Yava (Yavanez),Яванская,Javanese
84,Mau (Ərəb),Арабская мау,Arabian Mau
85,Ağ Türk Van Kedisi,Ванская кошка,Van Cat (Turkish Van Kedisi)
86,Anatoli Pişiyi,Анатолийская,Anatolian Cat (Turkish Shorthair)
87,Əgey Pişiyi,Эгейская,Aegean Cat
88,Kipros Pişiyi,Кипрская,Cyprus Cat
89,Sokoke,Сококе,Sokoke
90,Serrade Petit,Серраде пети,Serrade Petit
91,Karat,Карат,Suphalak
92,Burmes (Avropa tipi),Бурманская (европейский тип),European Burmese
93,Asiya Pişiyi,Азиатская кошка,Asian Cat
94,Asiya Tüstü,Азиатская дымчатая,Asian Smoke
95,Asiya Tabby,Азиатская табби,Asian Tabby
96,Bali-Yava,Балийско-яванская,Balinese-Javanese
97,York Şokolad,Йоркская шоколадная,York Chocolate
98,Orixos,Орихос,Ojos Azules
99,Kaliforniya Parıldayan,Калифорнийская сияющая,California Spangled
100,Haylend Fold,Хайленд-фолд,Highland Fold
101,Haylend Streyit,Хайленд-страйт,Highland Straight
102,German Reks,Герман-рекс,German Rex
103,Ural Reks,Уральский рекс,Ural Rex
104,Bohemiya Reks,Богемский рекс,Bohemian Rex
105,Tennessee Reks,Теннесси-рекс,Tennessee Rex
106,Oregon Reks,Орегон-рекс,Oregon Rex
107,Likoy (Qurd Pişik),Ликой,Lykoi
108,Xauzi,Хауси,Chausie
109,Çin Li Hua,Дракон Ли,Chinese Li Hua (Dragon Li)
110,Kunepal,Купари,Kanaani
111,Raas,Раас,Raas Cat
112,Kurilyan Bobteil Uzun Tüklü,Курильский бобтейл длинношёрстный,Kurilian Bobtail Longhair
113,Kareliya Bobteil Qısa Tüklü,Карельский бобтейл короткошёрстный,Karelian Bobtail Shorthair
114,Nəmrəli Qısa Tüklü,Пятнистая короткошёрстная,Spotted Shorthair
115,Don Sfinks (Tüksüz),Донской сфинкс (голый),Donskoy (Hairless)
116,Tayland Pişiyi,Тайская кошка,Thai Cat
117,Seişel Pişiyi,Сейшельская,Seychellois
118,Mekon Bobteil Qısa Tüklü,Меконгский бобтейл короткошёрстный,Mekong Bobtail Shorthair
119,Xao Mani,Као-мани,Khao Manee
120,Bəngal Cırtdan,Бенгал миниатюрный,Toyger (miniature variant)
121,Serval Hibrid,Сервал гибрид,Savannah (F1-F5)
122,Oselot Hibrid,Оцелот гибрид,Ocicat
123,Karakal Hibrid (Karaket),Каракет,Caracat
124,Çito,Чито,Cheetoh
125,Pantheretta,Пантеретта,Pantherette
126,Kanadan Sfinks (Tüklü variant),Канадский сфинкс (велюр),Sphynx (Velour)
127,Menks Uzun Tüklü,Мэнкс длинношёрстный,Longhair Manx
128,Nebelung,Нибелунг,Nebelung
129,Rusiya Ağ,Русская белая,Russian White
130,Rusiya Qara,Русская чёрная,Russian Black
131,Korn Ya (Taylandlı),Корн Я,Khao Manee (variant)
132,Suphalak,Супхалак,Suphalak
133,Burmilla Uzun Tüklü,Бурмилла длинношёрстная,Burmilla Longhair
134,Avstraliya Tüstü Qısa Tüklü,Австралийская дымчатая короткошёрстная,Australian Mist Shorthair
135,Sokoke Uzun Tüklü,Сококе длинношёрстный,Sokoke Longhair
136,Havana Braun Uzun Tüklü,Гавана браун длинношёрстная,Havana Brown Longhair
137,Misir Mau Uzun Tüklü,Египетская мау длинношёрстная,Egyptian Mau Longhair
