No,AZ,RU,EN
1,Dalğalı Tutuquşu (Muhabbet),Волнистый попугай,Budgerigar (Budgie)
2,Korella (Nimfa),Корелла (Нимфа),Cockatiel
3,Ayrılmaz Tutuquşu (Fischer),Неразлучник Фишера,Fischer's Lovebird
4,Ayrılmaz Tutuquşu (Üzü Şaftalılı),Розовощёкий неразлучник,Rosy-faced Lovebird
5,Ayrılmaz Tutuquşu (Maskalı),Неразлучник в маске,Masked Lovebird
6,Ayrılmaz Tutuquşu (Qara Yanaqlı),Чернощёкий неразлучник,Black-cheeked Lovebird
7,Ayrılmaz Tutuquşu (Lilian),Неразлучник Лилианы,Lilian's Lovebird
8,Ayrılmaz Tutuquşu (Abissin),Абиссинский неразлучник,Abyssinian Lovebird
9,Ağ Kakadu,Белый какаду,White Cockatoo (Umbrella Cockatoo)
10,Sarı Telli Kakadu,Желтохохлый какаду,Sulphur-crested Cockatoo
11,Çəhrayı Kakadu (Qalah),Розовый какаду,Galah (Rose-breasted Cockatoo)
12,Qara Palma Kakadu,Чёрный пальмовый какаду,Palm Cockatoo
13,Molukk Kakadu,Молуккский какаду,Moluccan Cockatoo
14,Qoffin Kakadu,Какаду Гоффина,Goffin's Cockatoo
15,Böyük Aleksandr Tutuquşusu,Александрийский попугай,Alexandrine Parakeet
16,Hindistan Boyunhalqalı Tutuquşusu,Ожереловый попугай,Indian Ringneck Parakeet
17,Afrika Boz Tutuquşusu (Jako),Жако,African Grey Parrot
18,Timneh Boz Tutuquşusu,Тимне,Timneh African Grey
19,Yaşıl Amazon Tutuquşusu,Амазон,Amazon Parrot (Green)
20,Sarıbaş Amazon,Желтоголовый амазон,Yellow-headed Amazon
21,Mavi Cəbhəli Amazon,Синелобый амазон,Blue-fronted Amazon
22,Narıncı Qanadlı Amazon,Венесуэльский амазон,Orange-winged Amazon
23,İkiqat Sarı Başlı Amazon,Суринамский амазон,Double Yellow-headed Amazon
24,Mavi-Sarı Ara (Makao),Сине-жёлтый ара,Blue-and-yellow Macaw
25,Qırmızı Ara (Makao),Красный ара,Scarlet Macaw
26,Yaşıl Qanadlı Ara,Зеленокрылый ара,Green-winged Macaw
27,Hiacint Ara,Гиацинтовый ара,Hyacinth Macaw
28,Hərbi Ara,Военный ара,Military Macaw
29,Qırmızı Cəbhəli Ara,Красный ара (малый),Red-fronted Macaw
30,Mavi Boğazlı Ara,Синегорлый ара,Blue-throated Macaw
31,Mini Ara (Xana),Малый ара,Hahn's Macaw (Mini Macaw)
32,Sarı Yaxa Ara,Желтошейный ара,Yellow-collared Macaw
33,Günəş Konur,Солнечная аратинга,Sun Conure
