No,AZ,RU,EN
1,Qızıl Balıq (Adi),Золотая рыбка,Goldfish (Common)
2,Qızıl Balıq (Kometa),Комета,Comet Goldfish
3,Qızıl Balıq (Şubunkin),Шубункин,Shubunkin
4,Qızıl Balıq (Fantail),Вуалехвост,Fantail Goldfish
5,Qızıl Balıq (Oranda),Оранда,Oranda
6,Qızıl Balıq (Rançu),Ранчу,Ranchu
7,Qızıl Balıq (Aslanbaş),Львиноголовка,Lionhead Goldfish
8,Qızıl Balıq (Teleskop),Телескоп,Telescope Eye Goldfish
9,Qızıl Balıq (Qara Moor),Чёрный телескоп,Black Moor
10,Qızıl Balıq (Bubble Eye),Водяные глазки,Bubble Eye Goldfish
11,Qızıl Balıq (Celestial),Звездочёт,Celestial Eye Goldfish
12,Qızıl Balıq (Perlquaz),Жемчужинка,Pearlscale Goldfish
13,Qızıl Balıq (Ryukin),Рюкин,Ryukin
14,Qızıl Balıq (Pompon),Помпон,Pompom Goldfish
15,Qızıl Balıq (Tosakin),Тосакин,Tosakin
16,Qızıl Balıq (Jikin),Дзикин,Jikin
17,Qızıl Balıq (Vakin),Вакин,Wakin
18,Koi (Kohaku),Кои Кохаку,Koi (Kohaku)
19,Koi (Sanke),Кои Санке,Koi (Taisho Sanke)
20,Koi (Şova),Кои Сёва,Koi (Showa Sanshoku)
21,Koi (Tanço),Кои Танчо,Koi (Tancho)
22,Koi (Bekko),Кои Бекко,Koi (Bekko)
23,Koi (Utsurimono),Кои Уцури,Koi (Utsurimono)
24,Koi (Oqun),Кои Огон,Koi (Ogon)
25,Koi (Asagi),Кои Асаги,Koi (Asagi)
26,Koi (Şusui),Кои Сюсуй,Koi (Shusui)
27,Koi (Butterfly),Кои Бабочка,Koi (Butterfly/Hirenaga)
28,Betta (Halfmoon),Петушок Халфмун,Betta (Halfmoon)
29,Betta (Tac Quyruq),Петушок Коронохвостый,Betta (Crowntail)
30,Betta (Veiltail),Петушок Вуалехвост,Betta (Veiltail)
31,Betta (Plakat),Петушок Плакат,Betta (Plakat)
32,Betta (Double Tail),Петушок Двухвостый,Betta (Double Tail)
33,Betta (Delta),Петушок Дельта,Betta (Delta Tail)
34,Betta (Super Delta),Петушок Супер Дельта,Betta (Super Delta)
35,Betta (Rosetail),Петушок Розохвостый,Betta (Rosetail)
36,Betta (Dumbo),Петушок Дамбо,Betta (Dumbo/Elephant Ear)
37,Betta (Giant),Петушок Гигант,Betta (Giant)
38,Betta (Koi),Петушок Кои,Betta (Koi)
39,Betta (Wild type - İmbellis),Петушок Имбеллис,Betta Imbellis (Peaceful Betta)
40,Betta (Wild type - Smaragdina),Петушок Смарагдовый,Betta Smaragdina
41,Betta (Wild type - Mahachaiensis),Петушок Махачай,Betta Mahachaiensis
42,Quppi (Adi),Гуппи,Guppy (Common)
43,Quppi (Endler),Гуппи Эндлера,Endler's Livebearer
44,Quppi (Fancy),Гуппи породистый,Fancy Guppy
45,Moli (Qara),Чёрная моллинезия,Black Molly
46,Moli (Dalmasiya),Моллинезия далматин,Dalmatian Molly
47,Moli (Yelkənli),Моллинезия велифера,Sailfin Molly
48,Moli (Balon),Моллинезия баллон,Balloon Molly
49,Moli (Qızıl),Золотая моллинезия,Gold Dust Molly
50,Plati (Adi),Пецилия,Platy (Common)
51,Plati (Mickey Mouse),Пецилия Микки Маус,Mickey Mouse Platy
52,Plati (Tuxedo),Пецилия Тукседо,Tuxedo Platy
53,Plati (Sunset),Пецилия Сансет,Sunset Platy
54,Plati (Wagtail),Пецилия Ваг,Wagtail Platy
55,Qılıncquyruq (Adi),Меченосец,Swordtail (Common)
56,Qılıncquyruq (Koi),Меченосец Кои,Koi Swordtail
57,Qılıncquyruq (Sarı),Меченосец жёлтый,Yellow Swordtail
