No,AZ,RU,EN
1,Saqqallı Əjdaha (Bearded Dragon),Бородатая агама,Bearded Dragon (Pogona vitticeps)
2,Leopard Gekko,Леопардовый геккон,Leopard Gecko (Eublepharis macularius)
3,Xəzli Gekko (Crested),Реснитчатый геккон,Crested Gecko (Correlophus ciliatus)
4,Tokay Gekko,Геккон токи,Tokay Gecko
5,Günəş Gekko (Day Gecko),Дневной геккон,Day Gecko (Phelsuma)
6,Afrika Yoğun Quyruqlu Gekko,Толстохвостый геккон,African Fat-tailed Gecko
7,Gargoyle Gekko,Геккон-гаргулья,Gargoyle Gecko
8,Leachianus Gekko,Геккон-бананоед гигантский,Leachianus Gecko (New Caledonian Giant)
9,Ev Gekkonu (Adi),Домовой геккон,House Gecko (Common)
10,Satanic Leaf-tailed Gekko,Листохвостый геккон сатанинский,Satanic Leaf-tailed Gecko
11,Xaotik Gekko (Chahoua),Геккон хауа,Chahoua Gecko
12,Knob-tailed Gekko,Шишкохвостый геккон,Knob-tailed Gecko
13,Yaşıl İquana,Зелёная игуана,Green Iguana
14,Qırmızı İquana,Красная игуана,Red Iguana
15,Mavi İquana (Grand Cayman),Голубая игуана,Blue Iguana (Grand Cayman)
16,Rinoseroz İquana,Игуана-носорог,Rhinoceros Iguana
17,Çöl İquanası (Desert Iguana),Пустынная игуана,Desert Iguana
18,Fiji Bantlı İquana,Полосатая фиджийская игуана,Fiji Banded Iguana
19,Qaraçöl Kərtənkələsi (Uromastyx),Шипохвост,Uromastyx (Spiny-tailed Lizard)
20,Thorn Devil (Moloch),Молох,Thorny Devil (Moloch)
21,Mavi Dilli Skink,Синеязычный сцинк,Blue-tongued Skink
22,Şimal Mavi Dilli Skink,Северный синеязычный сцинк,Northern Blue-tongued Skink
23,Şəkərsız Skink (Schneider),Сцинк Шнайдера,Schneider's Skink
24,Yanğın Skink (Fire Skink),Огненный сцинк,Fire Skink
25,Qırmızı Gözlü Timsah Skink,Крокодиловый сцинк,Red-eyed Crocodile Skink
26,Monkey Tail Skink,Цепкохвостый сцинк,Monkey-tailed Skink (Prehensile-tailed)
27,İndoneziya Mavi Dilli Skink,Индонезийский синеязычный сцинк,Indonesian Blue-tongued Skink
28,Panther Buqələmun,Пантеровый хамелеон,Panther Chameleon
29,Yemen Buqələmunu (Veiled),Йеменский хамелеон,Veiled Chameleon
30,Jackson Buqələmunu,Хамелеон Джексона,Jackson's Chameleon
31,Parsons Buqələmunu,Хамелеон Парсона,Parson's Chameleon
32,Carpet Buqələmun,Ковровый хамелеон,Carpet Chameleon
33,Flap-necked Buqələmun,Лоскутный хамелеон,Flap-necked Chameleon
34,Senegal Buqələmunu,Сенегальский хамелеон,Senegal Chameleon
35,Ambilobe Panther Buqələmun,Пантеровый хамелеон Амбилобе,Ambilobe Panther Chameleon
36,Savanna Monitor,Степной варан,Savannah Monitor
37,Akvarium Monitor (Ackie),Варан Акки,Ackie Monitor (Ridge-tailed)
38,Nil Varanı,Нильский варан,Nile Monitor
39,Ağac Varanı (Emerald Tree),Изумрудный варан,Emerald Tree Monitor
40,Qara Boğaz Varanı,Черногорлый варан,Black-throated Monitor
41,Asiya Su Varanı,Водяной варан,Asian Water Monitor
42,Komodo Əjdahası,Комодский варан,Komodo Dragon
43,Perentie Varanı,Перенти,Perentie Monitor
44,Argus Varanı,Аргусов варан,Argus Monitor
45,Tegu (Argentina Qara-Ağ),Тегу чёрно-белый,Argentine Black and White Tegu
46,Tegu (Qırmızı),Тегу красный,Red Tegu
47,Tegu (Qızıl),Тегу золотой,Gold Tegu (Colombian)
48,Yaşıl Anole,Зелёный анолис,Green Anole
49,Qəhvəyi Anole,Коричневый анолис,Brown Anole
50,Knight Anole,Рыцарский анолис,Knight Anole
51,Basilisk (Yaşıl),Василиск зелёный,Green Basilisk (Plumed)
52,Basilisk (Qəhvəyi),Василиск обыкновенный,Brown Basilisk
53,Su Əjdahası (Chinese Water Dragon),Водяная агама,Chinese Water Dragon
54,Avstraliya Su Əjdahası,Австралийская водяная агама,Australian Water Dragon
55,Frilled Əjdaha,Плащеносная ящерица,Frilled Dragon (Frilled-neck Lizard)
56,Sailfin Əjdaha (Philippines),Парусная ящерица,Sailfin Dragon (Hydrosaurus)
57,Boyunhalqalı Kərtənkələ (Collared Lizard),Ошейниковая игуана,Collared Lizard
58,Armadillo Kərtənkələsi,Поясохвост,Armadillo Girdled Lizard
59,Long-tailed Lizard,Длиннохвостая ящерица,Long-tailed Grass Lizard
60,Alligator Kərtənkələsi (Abronia),Аброния,Abronia (Alligator Lizard)
61,Tokay Əjdaha (Draco volans),Летучий дракон,Flying Dragon (Draco)
62,Yaşıl Ağac Piton,Зелёный древесный питон,Green Tree Python
63,Top Piton (Ball Python),Королевский питон,Ball Python (Royal Python)
64,Birma Pitonu,Бирманский питон,Burmese Python
65,Retikulyat Piton,Сетчатый питон,Reticulated Python
66,Qarpet Piton (Carpet Python),Ковровый питон,Carpet Python (Morelia spilota)
67,Qan Piton (Blood Python),Кровавый питон,Blood Python
68,Children Pitonu,Питон Чилдрена,Children's Python
69,Woma Piton,Питон вома,Woma Python
70,Spotted Piton,Пятнистый питон,Spotted Python (Antaresia maculosa)
71,Olive Piton,Оливковый питон,Olive Python
72,Boa Konstriktor (Adi),Обыкновенный удав,Boa Constrictor (Common)
73,Boa Konstriktor (Qırmızı Quyruq),Краснохвостый удав,Red-tail Boa
74,Qum Boası (Kenyan Sand Boa),Кенийский песчаный удав,Kenyan Sand Boa
75,Rosy Boa,Розовый удав,Rosy Boa
76,Göy Qurşağı Boa (Rainbow Boa),Радужный удав,Rainbow Boa (Brazilian)
77,Emerald Tree Boa,Собакоголовый удав,Emerald Tree Boa
78,Amazon Tree Boa,Амазонский древесный удав,Amazon Tree Boa
79,Dumeril Boa,Удав Дюмериля,Dumeril's Boa
80,Qarğıdalı İlanı (Corn Snake),Маисовый полоз,Corn Snake
81,Kral İlan (California King),Калифорнийская королевская змея,California Kingsnake
82,Kral İlan (Mexican Black),Мексиканская чёрная королевская,Mexican Black Kingsnake
83,Süd İlanı (Pueblan Milk),Молочная змея,Milk Snake (Pueblan)
84,Süd İlanı (Honduran),Гондурасская молочная змея,Honduran Milk Snake
85,Sinaloa Süd İlanı,Синалойская молочная змея,Sinaloan Milk Snake
86,Çoban İlanı (Gopher Snake),Сосновая змея,Gopher Snake (Bullsnake)
87,Rat Snake (Qara),Чёрный полоз,Black Rat Snake
88,Rat Snake (Texas),Техасский полоз,Texas Rat Snake
89,Rat Snake (Yapon - Japanese Beauty),Японский островной полоз,Japanese Beauty Snake
90,Hognose (Qərbi),Свиноносая змея западная,Western Hognose Snake
91,Hognose (Şərqi),Свиноносая змея восточная,Eastern Hognose Snake
92,Kral Kobra,Королевская кобра,King Cobra
93,Misir Kobrası,Египетская кобра,Egyptian Cobra
94,Qara Mamba,Чёрная мамба,Black Mamba
95,Yaşıl Mamba,Зелёная мамба,Green Mamba
96,Yaşıl Ağac İlanı (Rough Green),Длинноносый полоз,Rough Green Snake
97,Garter İlan (Common),Обыкновенный подвязочный уж,Common Garter Snake
98,Garter İlan (San Francisco),Подвязочная змея Сан-Франциско,San Francisco Garter Snake
99,Dekay İlanı (Brown Snake),Бурая змея Декея,DeKay's Brown Snake
