No,AZ,RU,EN
1,Tarantula (Meksika Qırmızıdiz),Брахипельма Смити,Mexican Red Knee Tarantula (Brachypelma smithi)
2,Tarantula (Meksika Qırmızıayaq),Брахипельма Эмилия,Mexican Red Leg Tarantula (Brachypelma emilia)
3,Tarantula (Chile Rose),Чилийский розовый птицеед,Chilean Rose Tarantula (Grammostola rosea)
4,Tarantula (Curly Hair),Курчавоволосый птицеед,Curly Hair Tarantula (Tliltocatl albopilosus)
5,Tarantula (Cobalt Blue),Кобальтово-синий птицеед,Cobalt Blue Tarantula (Cyriopagopus lividus)
6,Tarantula (Goliath Birdeater),Птицеед-голиаф,Goliath Birdeater (Theraphosa blondi)
7,Tarantula (Pinktoe),Розовопалый птицеед,Pinktoe Tarantula (Avicularia avicularia)
8,Tarantula (Green Bottle Blue),Хроматопельма цианопубесценс,Green Bottle Blue Tarantula (Chromatopelma cyaneopubescens)
9,Tarantula (Orange Baboon - OBT),Оранжевый бабуиновый паук,Orange Baboon Tarantula (Pterinochilus murinus)
10,Tarantula (King Baboon),Королевский бабуиновый паук,King Baboon Tarantula (Pelinobius muticus)
11,Tarantula (Indian Ornamental),Индийский украшенный птицеед,Indian Ornamental Tarantula (Poecilotheria regalis)
12,Tarantula (Antilles Pinktoe),Антильский розовопалый птицеед,Antilles Pinktoe Tarantula (Caribena versicolor)
13,Tarantula (Skeleton),Птицеед-скелет,Skeleton Tarantula (Ephebopus murinus)
14,Tarantula (Brazilian Black),Бразильский чёрный птицеед,Brazilian Black Tarantula (Grammostola pulchra)
15,Tarantula (Salmon Pink Birdeater),Розовый птицеед-птицелов,Salmon Pink Birdeater (Lasiodora parahybana)
16,Tarantula (Arizona Blonde),Аризонский блондин,Arizona Blonde Tarantula (Aphonopelma chalcodes)
17,Tarantula (Trinidad Chevron),Тринидадский шеврон,Trinidad Chevron Tarantula (Psalmopoeus cambridgei)
18,Tarantula (Singapore Blue),Сингапурский голубой птицеед,Singapore Blue Tarantula (Omothymus violaceopes)
19,Əqrəb (İmperator),Императорский скорпион,Emperor Scorpion (Pandinus imperator)
20,Əqrəb (Asiya Meşə),Азиатский лесной скорпион,Asian Forest Scorpion (Heterometrus)
21,Əqrəb (Arizona Bark),Аризонский древесный скорпион,Arizona Bark Scorpion
22,Əqrəb (Flat Rock),Плоский скорпион,Flat Rock Scorpion (Hadogenes)
23,Əqrəb (Red Claw),Красноклешневой скорпион,Red Claw Scorpion
24,Əqrəb (Deathstalker),Жёлтый толстохвостый скорпион,Deathstalker Scorpion
25,Əqrəb (Dictator),Скорпион-диктатор,Dictator Scorpion (Pandinus dictator)
26,Dua Böcəyi (Adi - Chinese Mantis),Китайский богомол,Chinese Mantis
27,Dua Böcəyi (Orkide),Орхидейный богомол,Orchid Mantis (Hymenopus coronatus)
28,Dua Böcəyi (Ghost),Призрачный богомол,Ghost Mantis (Phyllocrania paradoxa)
29,Dua Böcəyi (Çiçək - Flower),Цветочный богомол,Flower Mantis (Creobroter)
30,Dua Böcəyi (Afrika Nəhəng),Африканский гигантский богомол,African Giant Mantis (Sphodromantis)
31,Dua Böcəyi (Dead Leaf),Богомол сухой лист,Dead Leaf Mantis (Deroplatys desiccata)
32,Dua Böcəyi (Şeytan Çiçəyi),Чёртов цветок,Devil's Flower Mantis (Idolomantis diabolica)
33,Dua Böcəyi (Budwing),Богомол-бадвинг,Budwing Mantis (Parasphendale)
34,Dua Böcəyi (Avropa),Европейский богомол,European Mantis (Mantis religiosa)
35,Dua Böcəyi (Shield),Щитовой богомол,Shield Mantis (Rhombodera)
36,Dua Böcəyi (Violin),Скрипичный богомол,Violin Mantis (Gongylus gongyloides)
37,Dua Böcəyi (Boxer),Боксёрский богомол,Boxer Mantis (Odontomantis planiceps)
38,Çöp Böcəyi (Hindistan),Индийский палочник,Indian Stick Insect (Carausius morosus)
39,Çöp Böcəyi (Nəhəng Maleziya),Гигантский малайский палочник,Giant Malaysian Stick Insect (Heteropteryx dilatata)
