No,AZ,RU,EN
1,Toyuq (Leqhorn),Леггорн,Leghorn Chicken
2,Toyuq (Rhode Island Red),Род-Айленд красный,Rhode Island Red
3,Toyuq (Plymouth Rock),Плимутрок,Plymouth Rock
4,Toyuq (Sussex),Суссекс,Sussex Chicken
5,Toyuq (Orpington),Орпингтон,Orpington Chicken
6,Toyuq (Australorp),Австралорп,Australorp
7,Toyuq (Brahma),Брама,Brahma Chicken
8,Toyuq (Cochin),Кохинхин,Cochin Chicken
9,Toyuq (Silkie - İpək),Шёлковая курица,Silkie Chicken
10,Toyuq (Wyandotte),Виандот,Wyandotte Chicken
11,Toyuq (Marans),Маран,Marans Chicken
12,Toyuq (Ameraucana),Амераукана,Ameraucana Chicken
13,Toyuq (Araucana),Арауканa,Araucana Chicken
14,Toyuq (Lənkəran),Ленкоранская,Lankaran Chicken
15,Toyuq (Polish - Kəkilli),Польская хохлатая,Polish Chicken
16,Toyuq (Hamburg),Гамбургская,Hamburg Chicken
17,Toyuq (Andalusian),Андалузская,Andalusian Chicken
18,Toyuq (Minorca),Минорка,Minorca Chicken
19,Toyuq (Welsummer),Вельзумер,Welsummer Chicken
20,Toyuq (Barnevelder),Барневельдер,Barnevelder Chicken
21,Toyuq (Faverolles),Фавероль,Faverolles Chicken
22,Toyuq (Dorking),Доркинг,Dorking Chicken
23,Toyuq (Jersey Giant),Джерсийский гигант,Jersey Giant Chicken
24,Toyuq (Cornish),Корниш,Cornish Chicken
25,Toyuq (New Hampshire),Нью-Гэмпшир,New Hampshire Chicken
26,Toyuq (Delaware),Делавэр,Delaware Chicken
27,Toyuq (Bantam - Cırtdan),Бентамка,Bantam Chicken
28,Toyuq (Serama - Ən Kiçik),Серама,Serama Chicken
29,Toyuq (Frizzle - Qıvrım Tüklü),Курчавая курица,Frizzle Chicken
30,Toyuq (Naked Neck - Çılpaq Boyun),Голошейная,Naked Neck (Turken)
31,Toyuq (Ayam Cemani - Qara),Аям Цемани,Ayam Cemani
32,Toyuq (Sultan),Султанка,Sultan Chicken
33,Toyuq (Yokohama),Йокогама,Yokohama Chicken
34,Toyuq (Phoenix),Феникс,Phoenix Chicken
35,Toyuq (Onagadori - Uzun Quyruq),Онагадори,Onagadori (Long-tailed)
