No,AZ,RU,EN
1,Hamster (Suriya - Qızılı),Сирийский хомяк,Syrian Hamster (Golden)
2,Hamster (Suriya - Uzun Tüklü),Сирийский длинношёрстный,Syrian Hamster (Long-haired/Teddy Bear)
3,Hamster (Suriya - Satin),Сирийский сатиновый,Syrian Hamster (Satin)
4,Hamster (Suriya - Rex),Сирийский рекс,Syrian Hamster (Rex)
5,Hamster (Suriya - Qara Ayı),Сирийский чёрный медведь,Syrian Hamster (Black Bear)
6,Hamster (Cırtdan Campbell),Хомячок Кэмпбелла,Campbell's Dwarf Hamster
7,Hamster (Cırtdan Winter White),Джунгарский хомячок,Winter White Dwarf Hamster (Djungarian)
8,Hamster (Winter White - Sapphire),Джунгарский сапфир,Winter White (Sapphire)
9,Hamster (Winter White - Pearl),Джунгарский жемчужный,Winter White (Pearl)
10,Hamster (Roborovski),Хомячок Роборовского,Roborovski Dwarf Hamster
11,Hamster (Çin),Китайский хомячок,Chinese Hamster
12,Dəniz Donuzu (Abissin),Абиссинская морская свинка,Abyssinian Guinea Pig
13,Dəniz Donuzu (Amerikan - Hamar Tüklü),Американская морская свинка,American Guinea Pig (Smooth-haired)
14,Dəniz Donuzu (Peruvian - Uzun Tüklü),Перуанская морская свинка,Peruvian Guinea Pig
15,Dəniz Donuzu (Silkie/Sheltie),Шелти морская свинка,Silkie/Sheltie Guinea Pig
16,Dəniz Donuzu (Texel - Qıvrım),Тексель морская свинка,Texel Guinea Pig
17,Dəniz Donuzu (Coronet),Коронет морская свинка,Coronet Guinea Pig
18,Dəniz Donuzu (Teddy),Тедди морская свинка,Teddy Guinea Pig
19,Dəniz Donuzu (Rex),Рекс морская свинка,Rex Guinea Pig
20,Dəniz Donuzu (Skinny - Tüksüz),Скинни морская свинка,Skinny Guinea Pig (Hairless)
21,Dəniz Donuzu (Baldwin - Tüksüz),Болдуин морская свинка,Baldwin Guinea Pig (Hairless)
22,Dəniz Donuzu (Lunkarya),Лункария морская свинка,Lunkarya Guinea Pig
23,Dəniz Donuzu (Merino),Мерино морская свинка,Merino Guinea Pig
24,Dəniz Donuzu (Alpaca),Альпака морская свинка,Alpaca Guinea Pig
25,Dəniz Donuzu (Crested - Kəkilli),Хохлатая морская свинка,Crested Guinea Pig
26,Dəniz Donuzu (Cuy - Nəhəng),Куи (гигантская),Cuy Guinea Pig (Giant)
27,Siçan (Fancy - Dekorativ),Декоративная мышь,Fancy Mouse
28,Siçan (Satin),Сатиновая мышь,Satin Mouse
29,Siçan (Rex - Qıvrım),Рекс мышь,Rex Mouse
30,Siçan (Long-haired),Длинношёрстная мышь,Long-haired Mouse
31,Siçan (Hairless - Tüksüz),Голая мышь,Hairless Mouse
32,Siçan (Spiny - Tikanlı Afrika),Иглистая мышь,African Spiny Mouse (Acomys)
33,Siçan (Zebra - Zolaqlı),Полосатая мышь,Zebra Mouse (African Striped)
34,Siçan (Afrika Cırtdan - Pygmy),Африканская карликовая мышь,African Pygmy Mouse (Mus minutoides)
35,Siçan (Harvest - Biçin),Мышь-малютка,Harvest Mouse
36,Siçovul (Fancy - Dekorativ),Декоративная крыса,Fancy Rat
37,Siçovul (Dumbo),Крыса Дамбо,Dumbo Rat
38,Siçovul (Rex - Qıvrım),Крыса Рекс,Rex Rat
39,Siçovul (Double Rex),Крыса Дабл Рекс,Double Rex Rat
40,Siçovul (Hairless - Tüksüz),Голая крыса,Hairless Rat (Sphinx)
41,Siçovul (Satin),Крыса Сатин,Satin Rat
42,Siçovul (Velveteen),Крыса Вельветин,Velveteen Rat
43,Siçovul (Blue - Mavi),Голубая крыса,Blue Rat
44,Siçovul (Siamese - Siam),Сиамская крыса,Siamese Rat
45,Siçovul (Husky/Roan),Крыса Хаски,Husky Rat (Roan)
46,Siçovul (Manx - Quyruqsuz),Бесхвостая крыса,Manx Rat (Tailless)
47,Siçovul (Harley - Uzun Tüklü),Крыса Харли,Harley Rat (Long-haired)
48,Çinçilla (Standard Boz),Шиншилла стандартная серая,Standard Grey Chinchilla
49,Çinçilla (Ağ Wilson),Шиншилла белая Вильсона,White Wilson Chinchilla
50,Çinçilla (Qara Məxmər),Шиншилла чёрный бархат,Black Velvet Chinchilla
51,Çinçilla (Beige),Шиншилла бежевая,Beige Chinchilla
52,Çinçilla (Violet),Шиншилла фиолетовая,Violet Chinchilla
53,Çinçilla (Sapphire),Шиншилла сапфировая,Sapphire Chinchilla
54,Çinçilla (Ebony),Шиншилла эбони,Ebony Chinchilla
55,Çinçilla (Mosaic),Шиншилла мозаика,Mosaic Chinchilla
56,Çinçilla (Pink White),Шиншилла розово-белая,Pink White Chinchilla
57,Çinçilla (Chocolate),Шиншилла шоколадная,Chocolate Chinchilla
58,Dequ (Adi),Дегу,Degu (Common)
59,Dequ (Mavi - Nadir),Голубой дегу,Blue Degu (Rare morph)
60,Dequ (Qum - Sand),Песочный дегу,Sand Degu
61,Gerbil (Monqol),Монгольская песчанка,Mongolian Gerbil
62,Gerbil (Fat-tailed),Толстохвостая песчанка,Fat-tailed Gerbil (Duprasi)
